feature,importance
Days_After,15.568065407808742
Indoor_Count,14.156995207674758
Treatment,13.985958611181358
User_Purpose,13.679023205392587
Mean_Walk_Hard,9.918073580544982
Walk_Hard_3,6.354261597878989
Category_2,4.622273816056539
Category_1,4.618212830066011
Category_3,4.488589309312646
User_Walk_Preference,4.3299181419199355
Walk_Hard_2,2.538850734594049
Walk_Hard_1,2.5356395603138453
Place_3,0.8613130798142046
Dist_2,0.5705017125858598
Dist_3,0.5345433466025038
Dist_1,0.2643249789668768
Place_1,0.26172920580404513
Place_2,0.2589284751147089
Is_Indoor_2,0.1335743951523331
Is_Indoor_3,0.10721362684633445
Is_Indoor_1,0.10056429554212419
Preference_Hard_Diff,0.06596592889083693
Hospital_Name,0.04547895193590559
